claim_id	question	estimand	falsification_rule	status	evidence_source	permitted_wording	prohibited_wording
C1	Does the frozen public-RNA contract contain 60 primary HGSOC tumour OCMs from 52 patients?	Unique run, OCM, patient, study and eligibility mappings under the frozen manifest policy	Any run identity conflict, primary-set mismatch, duplicate representative error, or matrix/run mismatch invalidates the contract	supported under tested conditions	data/processed/metadata/ocm_master_manifest.tsv; data/processed/metadata/manifest_audit.json; evidence/study_ocm_registry.tsv	The frozen manifest defines 60 OCMs from 52 patients under the stated eligibility rule	60 independent patients; every public OCM; a biological result
C2	Is NMF rank 3 the uniquely supported latent dimension?	Consensus cophenetic correlation, silhouette and assignment stability across candidate ranks	Rank 3 is falsified as uniquely best if another rank has stronger frozen stability metrics	falsified	evidence/roihu_result_snapshot.json#/receipts/nmf_pooled_rank_summary	Rank 3 is a frozen comparability anchor; rank 2 has stronger pooled stability metrics	Three biological subtypes; rank 3 is the true or optimal rank
C3	Do pooled and cohort-local NMF fits show transportable cross-cohort states?	Agreement on each cohort between a pooled fit and a cohort-local fit, plus future held-out study projection	The reproducibility claim fails if leave-one-study-out or external agreement is no better than patient-blocked permutation null	weakened	evidence/roihu_result_snapshot.json#/receipts/nmf_pooled_vs_cohort	Fixed-rank pooled and cohort-local decompositions show substantial but incomplete same-data concordance	Independent cross-cohort replication; validated clinical subtypes
C4	Are expression and regulatory summaries insensitive to repeated patients?	Distribution of agreement across all valid one-OCM-per-patient selections or patient weights	The robustness claim fails if observed agreement is not above size-matched deletion null or varies materially across valid selections	weakened	evidence/roihu_result_snapshot.json#/receipts/nmf_patient_balanced; evidence/roihu_result_snapshot.json#/receipts/regulatory_patient_balanced	One deterministic outcome-blind 52-patient sensitivity retained high agreement	Repeated patients do not affect results; general patient-level robustness
C5	Are HGSOC tumour states enriched relative to stroma or other references?	Within-study patient-paired tumour-reference effect sizes followed by study-aware synthesis	The claim fails if effects are inconsistent between studies, no stronger than paired label-swap null, or unstable to model choices	pending	data/processed/metadata/ocm_master_manifest.tsv	Tumour-reference enrichment is a planned within-study secondary contrast	Tumour-enriched network; stroma is a pooled normal; present-versus-absent proves specificity
C6	Does condition-count scaling give comparable regulatory lambda semantics?	Equivalence of mean-fit plus nominal penalty and summed-fit plus n-times-nominal solver penalty	Non-equivalent optimal sets or objective components on exactly enumerable problems falsify the convention	supported under tested conditions	scripts/run_corneto_regulatory_multisample.py; evidence/roihu_result_snapshot.json#/receipts/regulatory_grid	The implementation scales solver lambda by the included condition count under the recorded sum-error convention	Lambda values are mathematically proven comparable for every CORNETO version
C7	Is the inferred regulatory network robust to patient weighting and graph policy?	Edge-union and per-sample Jaccard under frozen patient and graph-policy perturbations	A stable-network claim fails when overlap is low or not above graph/input perturbation null	weakened	evidence/roihu_result_snapshot.json#/receipts/regulatory_patient_balanced; evidence/roihu_result_snapshot.json#/receipts/regulatory_richer_policy	Patient de-duplication retained high overlap at lambda 0.001, while the bundled richer graph policy changed solutions materially	Stable signalling core proven; PKN breadth alone caused the difference; causal network
C8	Can candidate order and alternative optima alter constraint-based solutions?	Retained-set and selected-edge distributions under order permutations and near-optimal sampling	The mechanism claim fails if the frozen toy or ensemble does not produce the recorded divergent solutions	supported under tested conditions	data/processed/meeson/toy_order_bounds_safe.json; data/processed/meeson/toy_corneto_global_retention.json; evidence/roihu_result_snapshot.json#/receipts/regulatory_alternative_optima	Order dependence and optimum ambiguity occur in the tested toy and regulatory ensemble	All real OCM solutions have the same ambiguity; one optimum is biologically true
C9	Is there a cross-cohort reproducible OCM metabolic state?	Patient-level reaction/module prevalence and pooled-versus-cohort active-flux concordance under frozen and perturbed metabolic contracts	Any invalid cohort receipt, null-level recurrence, or major sensitivity to medium, candidate budget, growth target or alternative optima defeats the claim	pending	evidence/roihu_result_snapshot.json#/receipts/pooled_metabolic_input_gate; docs/hgsoc_corneto_research_status.md	Metabolic input gates and jobs are separated from biological interpretation	A cross-cohort metabolic state exists; inferred flux is measured activity
C10	Is TPI1 an OCM-specific metabolic dependency?	OCM-specific WT-minus-knockout growth and FVA effects with independent perturbation concordance	No OCM-specific effect, medium-only effects, or failure versus matched-gene null falsifies the dependency claim	blocked	evidence/roihu_result_snapshot.json#/receipts/tpi1_model_gate; data/processed/meeson/upstream_audit.json	TPI1 and its associated reaction are present in the pinned model; OCM dependency remains untested	TPI1 was validated in 60 OCMs; generic Human-GEM deletion proves OCM vulnerability
C11	Do longitudinal OCM families exhibit treatment-associated network rewiring?	Within-patient network change aligned to verified sample order, exposure and response change	The treatment-associated claim fails if time-label swaps or stable controls show equal change, or if exact exposure and response are absent	blocked	data/processed/metadata/longitudinal_families.tsv; data/processed/metadata/manifest_audit.json	Response-blind within-family differences may be described after verifying sample order	Acquired-resistance rewiring; treatment-caused change
C12	Can current public data support paclitaxel response, intrinsic-resistance or acquired-resistance prediction?	Held-out patient-level improvement for prespecified outcomes and exact exposure-defined estimands	No exact outcome/exposure rows or no nested-CV improvement over baselines blocks or falsifies the corresponding claim	blocked	data/processed/metadata/manifest_audit.json; config/taylor_phenotype_intake.json	Response association and resistance estimands are not currently identifiable from the validated public table	Taxol response marker; intrinsic resistance from chemo-naive proxy; acquired-resistance prediction
C13	Do independent external perturbations support frozen network or metabolic targets?	Directional concordance of preregistered targets/modules in data not used for inference	The claim fails if frozen targets are null, opposite, or only match after post-hoc relabelling	pending	evidence/paper_ocm_evidence.tsv; data/processed/meeson/upstream_audit.json	External papers and perturbation data define future validation resources	External evidence already validates a post-hoc CORNETO module
