paper_key	year	reported_scope	evidence_granularity	ocm_ids	role	source_locator	evidence_status	claim_limit
topham2015	2015	0 OCM	non-OCM	NA	MYC-mitotic-fate mechanism in cell and mouse systems	DOI:10.1016/j.ccell.2015.06.001; PMC4518499	non_ocm	Mechanistic prior only; not an OCM cohort
pillay2019	2019	4 OCM	direct article names plus later canonical crosswalk	OCM38;OCM110-1;OCM118-1;OCM124-1	PARGi and CHK1i single/combination experiments	DOI:10.1016/j.ccell.2019.02.004; Fig.8; Table S1; tighe_ocm_characteristics.tsv references=1	later_authoritative_crosswalk	Paper abbreviates three IDs; canonical suffixes come from Tighe Table S1
nelson2020	2020	15-model exemplar panel	later crosswalk identifies 14 current canonical IDs	OCM33-2;OCM38;OCM46-3;OCM59-3;OCM64-1;OCM64-3-Ep-;OCM64-3-Ep+;OCM66-1;OCM66-5;OCM72;OCM74-1;OCM74-3;OCM79;OCM87	Living-biobank establishment with overlapping molecular, imaging, karyotype and drug-assay subsets	DOI:10.1038/s41467-020-14551-2; PMC7018727; tighe_ocm_characteristics.tsv references=2	count_only_exact_ids_unknown	The paper reports 15; the current local crosswalk recovers 14 and must not guess the fifteenth
williams2020	2020	0 OCM	non-OCM clinical specimens	NA	ABCB1 promoter-fusion mechanism in metastatic HGSC ascites	DOI:10.1186/s12885-020-07571-0; PMC7654162	non_ocm	Clinical-specimen mechanism, not an OCM cohort
bronder2021	2021	0 OCM	non-OCM engineered reference	NA	TP53-loss and chromosomal-instability mechanism in FNE system	DOI:10.1242/dmm.049001; PMC8649171	non_ocm	FNE is an engineered reference system, not an OCM
barnes2021	2021	33 clinical specimens / 27 patients; 36 RNA profiles after two passage and two fraction additions	later authoritative crosswalk	OCM33-2;OCM38;OCM46-3;OCM59-3;OCM64-1;OCM64-3-Ep-;OCM64-3-Ep+;OCM66-1;OCM66-5;OCM72;OCM74-1;OCM74-3;OCM79;OCM80-2;OCM86;OCM87;OCM92;OCM99;OCM109;OCM110-1;OCM110-9;OCM118-1;OCM118-7;OCM124-1;OCM124-11;OCM149;OCM152;OCM161-1;OCM165;OCM167;OCM191;OCM195;OCM231-1	Histotype-classifier validation in OCMs; classifier training used CCLE cell lines	DOI:10.1186/s13073-021-00952-5; PMC8408985; E-MTAB-10801 IDF; E-MTAB-7223; tighe_ocm_characteristics.tsv references=3	later_authoritative_crosswalk	Nineteen new OCMs are in E-MTAB-10801 and 17 prior profiles in E-MTAB-7223; not an independent 36-OCM discovery cohort
coulsongilmer2021	2021	32-OCM drug screen; RNA available for 29	article names selected IDs and later crosswalk identifies 31 canonical IDs	OCM33-2;OCM46-3;OCM59-3;OCM64-1;OCM66-1;OCM74-1;OCM80-2;OCM86;OCM87;OCM92;OCM95;OCM99;OCM105;OCM106;OCM109;OCM110-1;OCM128;OCM132;OCM149;OCM152;OCM161-1;OCM162-2;OCM165;OCM167;OCM191;OCM195;OCM203-2;OCM231-1;OCM246;OCM250-2;OCM267	PARG-inhibitor screen and replication-catastrophe mechanism	DOI:10.1186/s13046-021-02124-0; PMC8520217; tighe_ocm_characteristics.tsv references=4	count_only_exact_ids_unknown	The crosswalk recovers 31 of 32; the missing member is unknown and RNA absence for OCM267, OCM250-2 and OCM162-2 must be retained
golder2022	2022	16 OCM	direct exact table	OCM33-2;OCM38;OCM46-3;OCM59-3;OCM64-1;OCM64-3-Ep-;OCM66-1;OCM66-5;OCM72;OCM79;OCM87;OCM105;OCM109;OCM152;OCM191;OCM195	ATR/CHK1 multiple-low-dose profiling	DOI:10.1093/narcan/zcac036; PMC9653014; Table 1	direct_machine_readable	FNE1 is an additional non-OCM reference and is not included in the 16
nelson2023	2023	over 120 OCMs programme-wide	count only	NA	Living-biobank review and programme scope	DOI:10.1007/s10577-023-09731-x; PMC10435626	count_only_exact_ids_unknown	Time-stamped programme count; no exact per-paper OCM panel
morgan2023	2023	0 OCM	non-OCM clinical cohort	NA	External HRD clinical context	DOI:10.1136/ijgc-2022-004211	non_ocm	Clinical evidence only
